18A Test,P Diddy,P Diddy,E160520BC,E160520BC,170710F,170710F
Time (ms),Voltage1 (V),Current1 (A),Voltage2 (V),Current2 (A),Voltage3 (V),Current3 (A)
216923,12.109,18.027,11.942,18.027,12.036,18.011
217441,12.109,18.027,11.942,18.027,12.036,18.011
217931,12.109,18.027,11.942,18.027,12.036,18.011
218449,12.109,18.027,11.942,18.027,12.036,18.011
218947,12.109,18.027,11.942,18.027,12.036,18.011
219482,12.109,18.027,11.942,18.027,12.036,18.011
219983,12.109,18.027,11.942,18.027,12.036,18.011
220502,12.109,18.027,11.942,18.027,12.036,18.011
221000,12.109,18.027,11.942,18.027,12.036,18.011
221538,12.109,18.027,11.942,18.027,12.036,18.011
222045,12.109,18.027,11.942,18.027,12.036,18.011
222550,12.109,18.027,11.942,18.027,12.036,18.011
223048,12.109,18.027,11.942,18.027,12.036,18.011
223583,12.109,18.027,11.942,18.027,12.036,18.011
224105,12.109,18.027,11.942,18.027,12.036,18.011
224634,12.109,18.027,11.942,18.027,12.036,18.011
225167,12.109,18.027,11.942,18.027,12.036,18.011
225667,12.109,18.027,11.942,18.027,12.036,18.011
226192,12.109,18.027,11.942,18.027,12.036,18.011
226687,12.109,18.027,11.942,18.027,12.036,18.011
227204,12.109,18.027,11.942,18.027,12.036,18.011
227718,12.109,18.027,11.942,18.027,12.036,18.011
228241,12.109,18.027,11.942,18.027,12.036,18.011
228738,12.109,18.027,11.942,18.027,12.036,18.011
229255,12.109,18.027,11.942,18.027,12.036,18.011
229755,12.109,18.027,11.942,18.027,12.036,18.011
230280,12.109,18.027,11.942,18.027,12.036,18.011
230773,12.109,18.027,11.942,18.027,12.036,18.011
231326,12.109,18.027,11.942,18.027,12.036,18.011
231852,12.109,18.027,11.942,18.027,12.036,18.011
232342,12.109,18.027,11.942,18.027,12.036,18.011
232863,12.109,18.027,11.942,18.027,12.036,18.011
233360,12.109,18.027,11.942,18.027,12.036,18.011
233889,12.109,18.027,11.942,18.027,12.036,18.011
234378,12.109,18.027,11.942,18.027,12.036,18.011
234941,12.109,18.027,11.942,18.027,12.036,18.011
235450,12.109,18.027,11.942,18.027,12.036,18.011
235978,12.109,18.027,11.942,18.027,12.036,18.011
236502,12.109,18.027,11.942,18.027,12.036,18.011
237002,12.109,18.027,11.942,18.027,12.036,18.011
237532,12.109,18.027,11.942,18.027,12.036,18.011
238034,12.109,18.027,11.942,18.027,12.036,18.011
238560,12.109,18.027,11.942,18.027,12.036,18.011
239060,12.109,18.027,11.942,18.027,12.036,18.011
239589,12.109,18.027,11.942,18.027,12.036,18.011
240093,12.109,18.027,11.942,18.027,12.036,18.011
240612,12.109,18.027,11.942,18.027,12.036,18.011
241116,12.109,18.027,11.942,18.027,12.036,18.011
241646,12.109,18.027,11.942,18.027,12.036,18.011
242149,12.109,18.027,11.942,18.027,12.036,18.011
242670,12.109,18.027,11.942,18.027,12.036,18.011
243171,12.109,18.027,11.942,18.027,12.036,18.011
243707,12.109,18.027,11.942,18.027,12.036,18.011
244207,12.109,18.027,11.942,18.027,12.036,18.011
244766,12.109,18.027,11.942,18.027,12.036,18.011
245289,12.109,18.027,11.942,18.027,12.036,18.011
245791,12.109,18.027,11.942,18.027,12.036,18.011
246315,12.109,18.027,11.942,18.027,12.036,18.011
246828,12.109,18.027,11.942,18.027,12.036,18.011
247363,12.109,18.027,11.942,18.027,12.036,18.011
247851,12.109,18.027,11.942,18.027,12.036,18.011
248376,12.109,18.027,11.942,18.027,12.036,18.011
248875,12.109,18.027,11.942,18.027,12.036,18.011
249405,12.109,18.027,11.942,18.027,12.036,18.011
249910,12.109,18.027,11.942,18.027,12.036,18.011
250437,12.109,18.027,11.942,18.027,12.036,18.011
