18A Test,Kowalski,Kowalski,Fresh Prince,Fresh Prince,Snoop Dogg,Snoop Dogg
Time (ms),Voltage1 (V),Current1 (A),Voltage2 (V),Current2 (A),Voltage3 (V),Current3 (A)
225981,12.159,18.027,11.909,18.027,12.052,18.011
226510,12.159,18.027,11.909,18.027,12.052,18.011
227012,12.159,18.027,11.909,18.027,12.052,18.011
227541,12.159,18.027,11.909,18.027,12.052,18.011
228034,12.159,18.027,11.909,18.027,12.052,18.011
228563,12.159,18.027,11.909,18.027,12.052,18.011
229067,12.159,18.027,11.909,18.027,12.052,18.011
229581,12.159,18.027,11.909,18.027,12.052,18.011
230083,12.159,18.027,11.909,18.027,12.052,18.011
230604,12.159,18.027,11.909,18.027,12.052,18.011
231080,12.159,18.027,11.909,18.027,12.052,18.011
231628,12.159,18.027,11.909,18.027,12.052,18.011
232157,12.159,18.027,11.909,18.027,12.052,18.011
232652,12.159,18.027,11.909,18.027,12.052,18.011
233189,12.159,18.027,11.909,18.027,12.052,18.011
233691,12.159,18.027,11.909,18.027,12.052,18.011
234213,12.159,18.027,11.909,18.027,12.052,18.011
234704,12.159,18.027,11.909,18.027,12.052,18.011
235232,12.159,18.027,11.909,18.027,12.052,18.011
235731,12.159,18.027,11.909,18.027,12.052,18.011
236258,12.159,18.027,11.909,18.027,12.052,18.011
236758,12.159,18.027,11.909,18.027,12.052,18.011
237297,12.159,18.027,11.909,18.027,12.052,18.011
237792,12.159,18.027,11.909,18.027,12.052,18.011
238309,12.159,18.027,11.909,18.027,12.052,18.011
238806,12.159,18.027,11.909,18.027,12.052,18.011
239324,12.159,18.027,11.909,18.027,12.052,18.011
239826,12.159,18.027,11.909,18.027,12.052,18.011
240352,12.159,18.027,11.909,18.027,12.052,18.011
240851,12.159,18.027,11.909,18.027,12.052,18.011
241407,12.159,18.027,11.909,18.027,12.052,18.011
241905,12.159,18.027,11.909,18.027,12.052,18.011
242423,12.159,18.027,11.909,18.027,12.052,18.011
242928,12.159,18.027,11.909,18.027,12.052,18.011
243447,12.159,18.027,11.909,18.027,12.052,18.011
243943,12.159,18.027,11.909,18.027,12.052,18.011
244475,12.159,18.027,11.909,18.027,12.052,18.011
