18A Test,Whitesnake,Whitesnake,Tupac,Tupac,Fetty Wap,Fetty Wap
Time (ms),Voltage1 (V),Current1 (A),Voltage2 (V),Current2 (A),Voltage3 (V),Current3 (A)
186387,12.375,18.027,11.925,18.027,12.201,18.011
186919,12.375,18.027,11.925,18.027,12.201,18.011
187405,12.375,18.027,11.925,18.027,12.201,18.011
187935,12.375,18.027,11.925,18.027,12.201,18.011
188422,12.375,18.027,11.925,18.027,12.201,18.011
188950,12.375,18.027,11.925,18.027,12.201,18.011
189489,12.375,18.027,11.925,18.027,12.201,18.011
189991,12.375,18.027,11.925,18.027,12.201,18.011
190516,12.375,18.027,11.925,18.027,12.201,18.011
191018,12.375,18.027,11.925,18.027,12.201,18.011
191579,12.375,18.027,11.925,18.027,12.201,18.011
192091,12.375,18.027,11.925,18.027,12.201,18.011
192620,12.375,18.027,11.925,18.027,12.201,18.011
193122,12.375,18.027,11.925,18.027,12.201,18.011
193643,12.375,18.027,11.925,18.027,12.201,18.011
194142,12.375,18.027,11.925,18.027,12.201,18.011
194657,12.375,18.027,11.925,18.027,12.201,18.011
195157,12.375,18.027,11.925,18.027,12.201,18.011
195693,12.375,18.027,11.925,18.027,12.201,18.011
196214,12.375,18.027,11.925,18.027,12.201,18.011
196719,12.375,18.027,11.925,18.027,12.201,18.011
197251,12.375,18.027,11.925,18.027,12.201,18.011
197752,12.375,18.027,11.925,18.027,12.201,18.011
198282,12.375,18.027,11.925,18.027,12.201,18.011
198769,12.375,18.027,11.925,18.027,12.201,18.011
199296,12.375,18.027,11.925,18.027,12.201,18.011
199812,12.375,18.027,11.925,18.027,12.201,18.011
200342,12.375,18.027,11.925,18.027,12.201,18.011
200859,12.375,18.027,11.925,18.027,12.201,18.011
201354,12.375,18.027,11.925,18.027,12.201,18.011
201912,12.375,18.027,11.925,18.027,12.201,18.011
202414,12.375,18.027,11.925,18.027,12.201,18.011
202932,12.375,18.027,11.925,18.027,12.201,18.011
203433,12.375,18.027,11.925,18.027,12.201,18.011
203972,12.375,18.027,11.925,18.027,12.201,18.011
204482,12.375,18.027,11.925,18.027,12.201,18.011
205011,12.375,18.027,11.925,18.027,12.201,18.011
205515,12.375,18.027,11.925,18.027,12.201,18.011
206019,12.375,18.027,11.909,18.027,12.201,18.011
206528,12.375,18.027,11.909,18.027,12.201,18.011
207067,12.375,18.027,11.909,18.027,12.201,18.011
207600,12.375,18.027,11.909,18.027,12.201,18.011
208089,12.375,18.027,11.925,18.027,12.185,18.011
208609,12.375,18.027,11.909,18.027,12.185,18.011
209096,12.375,18.027,11.925,18.027,12.185,18.011
209627,12.375,18.027,11.909,18.027,12.185,18.011
210121,12.375,18.027,11.909,18.027,12.185,18.011
210649,12.375,18.027,11.909,18.027,12.185,18.011
211135,12.375,18.027,11.909,18.027,12.185,18.011
211699,12.375,18.027,11.909,18.027,12.185,18.011
212233,12.375,18.027,11.909,18.027,12.185,18.011
212729,12.358,18.027,11.909,18.027,12.185,18.011
213276,12.358,18.027,11.909,18.027,12.185,18.011
213807,12.358,18.027,11.909,18.027,12.185,18.011
214360,12.358,18.027,11.909,18.027,12.185,18.011
214888,12.375,18.027,11.909,18.027,12.185,18.011
215387,12.358,18.027,11.909,18.027,12.185,18.011
215924,12.358,18.027,11.909,18.027,12.185,18.011
216423,12.358,18.027,11.909,18.027,12.185,18.011
216946,12.358,18.027,11.909,18.027,12.185,18.011
217441,12.358,18.027,11.909,18.027,12.185,18.011
217962,12.358,18.027,11.909,18.027,12.185,18.011
218454,12.358,18.027,11.909,18.027,12.185,18.011
218981,12.358,18.027,11.909,18.027,12.185,18.011
219483,12.358,18.027,11.909,18.027,12.185,18.011
220014,12.358,18.027,11.909,18.027,12.185,18.011
220514,12.358,18.027,11.909,18.027,12.185,18.011
221044,12.358,18.027,11.909,18.027,12.185,18.011
221548,12.358,18.027,11.909,18.027,12.185,18.011
222076,12.358,18.027,11.909,18.027,12.185,18.011
222559,12.358,18.027,11.909,18.027,12.185,18.011
223092,12.358,18.027,11.909,18.027,12.185,18.011
223591,12.358,18.027,11.909,18.027,12.185,18.011
224148,12.358,18.027,11.909,18.027,12.185,18.011
224642,12.358,18.027,11.909,18.027,12.185,18.011
225168,12.358,18.027,11.909,18.027,12.185,18.011
225696,12.358,18.027,11.909,18.027,12.185,18.011
226193,12.358,18.027,11.909,18.027,12.185,18.011
226729,12.358,18.027,11.909,18.027,12.185,18.011
227227,12.358,18.027,11.909,18.027,12.185,18.011
227769,12.358,18.027,11.909,18.027,12.185,18.011
228278,12.358,18.027,11.909,18.027,12.185,18.011
228806,12.358,18.027,11.909,18.027,12.185,18.011
229331,12.358,18.027,11.909,18.027,12.185,18.011
229830,12.358,18.027,11.909,18.027,12.185,18.011
230353,12.358,18.027,11.909,18.027,12.185,18.011
230848,12.358,18.027,11.909,18.027,12.185,18.011
231364,12.358,18.027,11.909,18.027,12.185,18.011
231878,12.358,18.027,11.909,18.027,12.185,18.011
232409,12.358,18.027,11.909,18.027,12.185,18.011
232899,12.358,18.027,11.909,18.027,12.168,18.011
233432,12.358,18.027,11.909,18.027,12.168,18.011
233934,12.358,18.027,11.909,18.027,12.168,18.011
234472,12.358,18.027,11.909,18.027,12.168,18.011
234999,12.358,18.027,11.909,18.027,12.168,18.011
235496,12.358,18.027,11.909,18.027,12.168,18.011
236010,12.358,18.027,11.909,18.027,12.168,18.011
236510,12.358,18.027,11.909,18.027,12.168,18.011
237036,12.358,18.027,11.909,18.027,12.168,18.011
237538,12.358,18.027,11.909,18.027,12.168,18.011
238076,12.358,18.027,11.909,18.027,12.168,18.011
238571,12.358,18.027,11.909,18.027,12.168,18.011
239091,12.358,18.027,11.909,18.027,12.168,18.011
239605,12.358,18.027,11.909,18.027,12.168,18.011
240127,12.358,18.027,11.909,18.027,12.168,18.011
240659,12.358,18.027,11.909,18.027,12.168,18.011
241163,12.358,18.027,11.909,18.027,12.168,18.011
241674,12.358,18.027,11.909,18.027,12.168,18.011
242179,12.358,18.027,11.909,18.027,12.168,18.011
242698,12.358,18.027,11.909,18.027,12.168,18.011
243195,12.358,18.027,11.909,18.027,12.168,18.011
243735,12.358,18.027,11.909,18.027,12.168,18.011
244259,12.358,18.027,11.909,18.027,12.168,18.011
244782,12.358,18.027,11.909,18.027,12.168,18.011
245299,12.358,18.027,11.909,18.027,12.168,18.011
245788,12.358,18.027,11.909,18.027,12.168,18.011
246313,12.358,18.027,11.909,18.027,12.168,18.011
246803,12.358,18.027,11.909,18.027,12.168,18.011
247317,12.358,18.027,11.909,18.027,12.168,18.011
247823,12.358,18.027,11.909,18.027,12.168,18.011
248344,12.358,18.027,11.909,18.027,12.168,18.011
