18A Test,Ed Sheeran,Ed Sheeran,Tesseract,Tesseract,BLUE-04284-HA,BLUE-04284-HA
Time (ms),Voltage1 (V),Current1 (A),Voltage2 (V),Current2 (A),Voltage3 (V),Current3 (A)
200322,12.458,18.027,12.273,18.027,12.782,-0.01
200879,12.458,18.027,12.273,18.027,12.782,-0.01
201374,12.458,18.027,12.273,18.027,12.782,-0.01
201892,12.458,18.027,12.273,18.027,12.782,-0.01
202414,12.458,18.027,12.273,18.027,12.782,-0.01
202902,12.458,18.027,12.273,18.027,12.782,-0.01
203434,12.458,18.027,12.273,18.027,12.782,-0.01
203917,12.458,18.027,12.273,18.027,12.782,-0.01
204440,12.458,18.027,12.273,18.027,12.782,-0.01
204953,12.458,18.027,12.273,18.027,12.782,-0.01
205437,12.458,18.027,12.273,18.027,12.782,-0.01
205964,12.458,18.027,12.273,18.027,12.782,-0.01
206453,12.458,18.027,12.273,18.027,12.782,-0.01
206977,12.458,18.027,12.273,18.027,12.782,-0.01
207451,12.458,18.027,12.273,18.027,12.782,-0.01
207969,12.458,18.027,12.273,18.027,12.782,-0.01
208466,12.458,18.027,12.273,18.027,12.782,-0.01
208990,12.458,18.027,12.273,18.027,12.782,-0.01
209487,12.458,18.027,12.273,18.027,12.782,-0.01
210003,12.458,18.027,12.273,18.027,12.782,-0.01
210497,12.458,18.027,12.273,18.027,12.782,-0.01
211044,12.458,18.027,12.273,18.027,12.782,-0.01
211530,12.458,18.027,12.273,18.027,12.782,-0.01
212040,12.458,18.027,12.273,18.027,12.782,-0.01
212532,12.458,18.027,12.273,18.027,12.782,-0.01
213050,12.458,18.027,12.273,18.027,12.782,-0.01
213563,12.458,18.027,12.273,18.027,12.782,-0.01
214084,12.458,18.027,12.273,18.027,12.782,-0.01
214600,12.458,18.027,12.273,18.027,12.782,-0.01
215084,12.458,18.027,12.273,18.027,12.782,-0.01
215595,12.458,18.027,12.273,18.027,12.782,-0.01
216090,12.458,18.027,12.273,18.027,12.782,-0.01
216604,12.458,18.027,12.273,18.027,12.782,-0.01
217094,12.458,18.027,12.273,18.027,12.782,-0.01
217623,12.458,18.027,12.273,18.027,12.782,-0.01
218108,12.458,18.027,12.273,18.027,12.782,-0.01
218622,12.458,18.027,12.273,18.027,12.782,-0.01
219107,12.458,18.027,12.273,18.027,12.782,-0.01
219621,12.458,18.027,12.273,18.027,12.782,-0.01
220109,12.458,18.027,12.273,18.027,12.782,-0.01
220620,12.458,18.027,12.273,18.027,12.782,-0.01
221112,12.458,18.027,12.273,18.027,12.782,-0.01
221666,12.458,18.027,12.273,18.027,12.782,-0.01
222179,12.458,18.027,12.273,18.027,12.782,-0.01
222669,12.458,18.027,12.273,18.027,12.782,-0.01
223187,12.458,18.027,12.273,18.027,12.782,-0.01
223672,12.458,18.027,12.273,18.027,12.782,-0.01
224191,12.458,18.027,12.273,18.027,12.782,-0.01
224687,12.458,18.027,12.273,18.027,12.782,-0.01
225238,12.441,18.027,12.273,18.027,12.782,-0.01
225736,12.441,18.027,12.273,18.027,12.782,-0.01
226258,12.441,18.027,12.273,18.027,12.782,-0.01
226758,12.441,18.027,12.273,18.027,12.782,-0.01
227278,12.441,18.027,12.273,18.027,12.782,-0.01
227781,12.441,18.027,12.273,18.027,12.782,-0.01
228301,12.441,18.027,12.273,18.027,12.782,-0.01
228788,12.441,18.027,12.257,18.027,12.782,-0.01
229306,12.441,18.027,12.257,18.027,12.799,-0.01
229813,12.441,18.027,12.257,18.027,12.799,-0.01
230334,12.441,18.027,12.257,18.027,12.799,-0.01
230849,12.441,18.027,12.257,18.027,12.799,-0.01
231340,12.441,18.027,12.257,18.027,12.799,-0.01
231856,12.441,18.027,12.257,18.027,12.799,-0.01
232341,12.441,18.027,12.257,18.027,12.799,-0.01
232859,12.441,18.027,12.257,18.027,12.799,-0.01
233353,12.441,18.027,12.257,18.027,12.799,-0.01
233879,12.441,18.027,12.257,18.027,12.799,-0.01
234364,12.441,18.027,12.257,18.027,12.799,-0.01
234893,12.441,18.027,12.257,18.027,12.799,-0.01
235411,12.441,18.027,12.257,18.027,12.799,-0.01
235926,12.441,18.027,12.257,18.027,12.799,-0.01
236439,12.441,18.027,12.257,18.027,12.799,-0.01
236927,12.441,18.027,12.257,18.027,12.799,-0.01
237448,12.441,18.027,12.257,18.027,12.799,-0.01
