18A Test,ACDC,ACDC,,,Kanye West,Kanye West
Time (ms),Voltage1 (V),Current1 (A),Voltage2 (V),Current2 (A),Voltage3 (V),Current3 (A)
207911,12.491,18.027,-0.138,0.003,11.953,18.011
208425,12.491,18.027,-0.138,0.003,11.953,18.011
208907,12.491,18.027,-0.138,0.003,11.953,18.011
209416,12.491,18.027,-0.138,0.003,11.953,18.011
209907,12.491,18.027,-0.138,0.003,11.953,18.011
210430,12.491,18.027,-0.138,0.003,11.953,18.011
210894,12.491,18.027,-0.138,0.003,11.953,18.011
211400,12.491,18.027,-0.138,0.003,11.953,18.011
211879,12.491,18.027,-0.138,0.003,11.953,18.011
212376,12.491,18.027,-0.138,0.003,11.953,18.011
212855,12.491,18.027,-0.138,0.003,11.953,18.011
213366,12.491,18.027,-0.138,0.003,11.953,18.011
213851,12.491,18.027,-0.138,0.003,11.953,18.011
214373,12.491,18.027,-0.138,0.003,11.953,18.011
214847,12.491,18.027,-0.138,0.003,11.953,18.011
215355,12.491,18.027,-0.138,0.003,11.953,18.011
215862,12.491,18.027,-0.138,0.003,11.953,18.011
216357,12.491,18.027,-0.138,0.003,11.953,18.011
216842,12.491,18.027,-0.138,0.003,11.953,18.011
217351,12.491,18.027,-0.138,0.003,11.953,18.011
217832,12.491,18.027,-0.138,0.003,11.953,18.011
218348,12.491,18.027,-0.138,0.003,11.953,18.011
218834,12.491,18.027,-0.138,0.003,11.953,18.011
219345,12.491,18.027,-0.138,0.003,11.953,18.011
219823,12.491,18.027,-0.138,0.003,11.953,18.011
220329,12.491,18.027,-0.138,0.003,11.953,18.011
220809,12.491,18.027,-0.138,0.003,11.953,18.011
221315,12.491,18.027,-0.138,0.003,11.953,18.011
221806,12.491,18.027,-0.138,0.003,11.953,18.011
222324,12.491,18.027,-0.138,0.003,11.953,18.011
222798,12.491,18.027,-0.138,0.003,11.953,18.011
223306,12.491,18.027,-0.138,0.003,11.953,18.011
223784,12.491,18.027,-0.138,0.003,11.953,18.011
224287,12.491,18.027,-0.138,0.003,11.953,18.011
224773,12.491,18.027,-0.138,0.003,11.953,18.011
225275,12.491,18.027,-0.138,0.003,11.953,18.011
225770,12.491,18.027,-0.138,0.003,11.953,18.011
226317,12.491,18.027,-0.138,0.003,11.953,18.011
226829,12.491,18.027,-0.138,0.003,11.953,18.011
227314,12.491,18.027,-0.138,0.003,11.953,18.011
227826,12.491,18.027,-0.138,0.003,11.953,18.011
228294,12.491,18.027,-0.138,0.003,11.953,18.011
228797,12.491,18.027,-0.138,0.003,11.953,18.011
229273,12.491,18.027,-0.138,0.003,11.953,18.011
229776,12.491,18.027,-0.138,0.003,11.953,18.011
230256,12.491,18.027,-0.138,0.003,11.936,18.011
230757,12.491,18.027,-0.138,0.003,11.953,18.011
231233,12.491,18.027,-0.138,0.003,11.953,18.011
231737,12.491,18.027,-0.138,0.003,11.953,18.011
232220,12.491,18.027,-0.138,0.003,11.953,18.011
232725,12.491,18.027,-0.138,0.003,11.936,18.011
233206,12.491,18.027,-0.138,0.003,11.936,18.011
233724,12.491,18.027,-0.138,0.003,11.936,18.011
